,Unnamed: 0,conversation_id,created_at,author_id,lang,text,source,id,retweet_count,reply_count,like_count,quote_count,user_verified,user_protected,user_description,user_id,user_username,user_name,user_created_at,user_followers_count,user_following_count,user_tweet_count,user_listed_count,user_location,advice,caution,resource,remediation,other impact,service_interruption,weather_information
0,0,1465843812979384320,2021-12-01T00:42:53.000Z,28612106,en,Remember to write a list of important contact numbers in your outage plan and emergency kit. Here are some more tips: https://t.co/Csh1uXODwH #BCStorm https://t.co/kRhdODSRhY,Hootsuite Inc.,1465843812979384320,4,0,9,0,True,True,Outages: *HYDRO (*49376) on cell 1 800 BCHYDRO (1 800 224 9376) on corded landline. Latest outage updates: https://t.co/c3Fe7WlEKc,28612106.0,bchydro,BC Hydro,2009-04-03T17:37:43.000Z,106904.0,690.0,54622.0,722.0,,True,False,True,False,False,False,False
1,1,1466107083493945350,2021-12-01T18:09:02.000Z,1022139761421561856,en,"It's #BCStorm Season ~ Do you own property along a BC highway? If so, you'll need the scoop on your culvert responsibilities: https://t.co/Dt4bVLVs34

To report a culvert maintenance issue, give us a call 1-877-215-6006 and be sure to leave your # for a callback. https://t.co/1ZkHdobwdk",Sprout Social,1466107083493945350,1,0,0,0,False,False,Central Vancouver Island BC Hwy maintenance contractor.  Report road hazards to our 24-hr hotline 1-877-215-6006. Privacy Policy https://t.co/40mf40RfMf,1.0221397614215619e+18,MainroadMIsland,Mainroad Mid Island | Shift into Winter,2018-07-25T15:21:24.000Z,665.0,459.0,3872.0,7.0,"Parksville, British Columbia",False,False,True,False,False,False,False
2,2,1466132501961789456,2021-12-01T19:50:02.000Z,1468394269,en,"During an emergency having a working cell phone is critical. Conserve your battery:
✔️Dim your screen 
✔️Text instead of call
✔️Switch your phone to a power-saving mode
✔️Switch off vibrate 
✔️Only use essential apps to get updates and avoid using video
#BCFlood #BCstorm https://t.co/42DfTFo0Nd",Hootsuite Inc.,1466132501961789456,2,0,1,0,False,False,AgSafe is committed to creating a safe work environment for BC's agricultural industry. Request FREE safety training: https://t.co/zI7eoA59t2,1468394269.0,AgSafeBC,AgSafeBC,2013-05-29T22:19:41.000Z,1135.0,1201.0,5425.0,26.0,Langley BC,True,False,False,False,False,False,False
3,3,1466138826133450755,2021-12-01T20:15:10.000Z,3064610619,en,We are pleased to announce that MetNotes are now live in the WeatherCAN app! Check the bottom of your local page and swipe up for more info. #nlwx https://t.co/F0S8UUOCqg,Hootsuite Inc.,1466138826133450755,2,1,3,0,True,True,"Canada’s official weather and climate source. Tweets by @environmentca meteorologists. 
 Suivez-nous en français @ECCCMeteoNL
 Terms: https://t.co/hYp1hBXnSr",3064610619.0,ECCCWeatherNL,ECCC Weather Newfoundland and Labrador,2015-02-28T00:32:01.000Z,3130.0,11.0,329.0,45.0,"Newfoundland and Labrador, Canada",False,False,True,False,False,False,True
4,4,1466154334274523136,2021-12-01T21:16:47.000Z,41618221,en,"⚠️UPDATE #BCHwy99 - OPEN to essential travel only between #Lillooet and #Pemberton ⚠️

❗️ Travel advisory in effect. Vehicles over 14,500kg licensed GVW will not be permitted. Expect changing winter conditions. ❗️

ℹ️https://t.co/46PjoMCkeK

#SeatoSky #BCStorm #WhistlerBC",TweetDeck,1466154334274523136,17,0,17,0,True,True,"DriveBC Official account
BC Ministry of Transportation & Infrastructure highway info, events & weather.
Monitored 24/7
Collection Notice: https://t.co/7EdnVI2gU3",41618221.0,DriveBC,DriveBC,2009-05-21T16:22:17.000Z,228614.0,228.0,155379.0,1422.0,British Columbia,False,True,True,False,False,True,True
5,5,1466509029463650308,2021-12-02T20:46:13.000Z,112816720,en,"Ever heard of #hydrologicstationarity?

https://t.co/Utlke8gNge

What we've relied on as climate norms are changing and we need to adapt 

#BCStorm #BCFloods #ClimateAction 
#ClimateCrisis 
#ClimateEmergency",TweetDeck,1466509029463650308,3,0,4,1,False,False,"I work in IT.  I love learning new things, especially in the areas of science and technology.  My passions include the environment, science fiction and cycling.",112816720.0,tabmcleod,Trevor McLeod,2010-02-09T20:14:20.000Z,53.0,2.0,4117.0,27.0,"Vancouver, British Columbia",True,False,True,False,False,False,False
6,6,1466521686145220616,2021-12-02T21:36:31.000Z,770694425852858368,en,"Fires, floods, earthquakes, or other emergencies are some of the most stressful events one can experience. 

Read our full list of tips:
https://t.co/2zc6jGl89D 

#mentalhealth #bcstorm #tricities #tricitytransitionsbc https://t.co/astT8K07mY",Hootsuite Inc.,1466521686145220616,1,0,2,0,False,False,Respected and established registered charity providing emergency shelter and support for women and children fleeing family violence and abuse in the Tri-Cities.,7.706944258528584e+17,TriCityTS,Tri-City Transitions,2016-08-30T18:47:24.000Z,120.0,216.0,361.0,3.0,Port Coquitlam,True,False,True,False,False,False,False
7,7,1466719856129105924,2021-12-03T10:43:58.000Z,4703075106,en,"Marine Atlantic has cancelled crossings this morning.
Crossings for this evening and Saturday could also be impacted. #nlwx #nltraffic",TweetDeck,1466719856129105924,1,0,0,0,False,False,Follow us for the latest news from Newfoundland and Labrador. Send news tips to info@newfoundnews.ca,4703075106.0,newfoundnewsca,Newfound News,2016-01-03T14:33:54.000Z,1343.0,876.0,16598.0,11.0,"St. John's, NL",False,False,False,False,False,True,True
8,8,1466912664823775236,2021-12-03T23:30:07.000Z,486992415,en,"❄️With winter weather in the forecast, have you considered volunteering as a Snow Angel? View the list of Coquitlam neighbourhoods in need of volunteers and sign up at https://t.co/qXoLdUgzWs

#beagoodneighbour #snowangel #coquitlam #wintersafety  #tricities #winterinbc #bcstorm https://t.co/vO7cmrwKcB",Hootsuite Inc.,1466912664823775236,4,0,2,1,True,True,City of Coquitlam official page. One of the fastest-growing communities in Metro Vancouver. Tweeting Monday to Friday 8-5!,486992415.0,cityofcoquitlam,City of Coquitlam,2012-02-08T22:01:28.000Z,12813.0,512.0,11865.0,187.0,"Coquitlam, BC",True,False,True,True,False,False,False
9,9,1466920202734645257,2021-12-04T00:00:05.000Z,1069334041,en,"Returning home after your First Nation or local government has said it’s safe can be overwhelming. There are steps you can take &amp; supports available to make the process more manageable https://t.co/7aDi7KT35Y 

#PreparedBC #BCstorm #BCflood https://t.co/hl54YqxjG8",Hootsuite Inc.,1466920202734645257,9,1,8,0,True,True,Ready for a disaster? Get preparedness tips & recovery info here. Follow @EmergencyInfoBC for emergency information. Collection Notice: https://t.co/CSxYQ91LD9,1069334041.0,PreparedBC,Prepared BC,2013-01-07T22:23:48.000Z,41740.0,355.0,7693.0,453.0,"British Columbia, Canada",True,False,True,False,False,False,False
